[20190211_132104 / views.py:7210]
pair	=	USDJPY
timeframe	=	M5
source csv	=	list_4-3.slice-by-day.(2019-02-01).20190211_130120.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source file date	=	20190211_091837
log file name	=	no-45.[basic-stats].20190211_132104.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190211_132104



[20190211_132105 / views.py:7241]
[Close - Open]=========================
lenOf_BarDatas	287
len(lo_Ups)	141	0.491
len(lo_Downs)	137	0.477
len(lo_Zeros)	9	0.031


