[20190212_131717 / views.py:7602]
pair	=	USDJPY
timeframe	=	M5
source csv	=	list_4-3.slice-by-day.(2019-01-30).20190211_130120.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source file date	=	20190211_091837
log file name	=	no-45.[basic-stats].20190212_131717.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190212_131717



[20190212_131717 / views.py:7653]
[Close - Open]=========================
lenOf_BarDatas	288
len(lo_Ups)	137	0.476
len(lo_Downs)	138	0.479
len(lo_Zeros)	13	0.045

[Diff]=========================
avgOf_Diff_Ups	0.016	(sumOf_Ups = 2.230, len(lo_Ups) = 137)
avgOf_Diff_Downs	-0.019	(sumOf_Downs = -2.611, len(lo_Downs) = 138)
avgOf_Diff_HLs	0.034


