[20190211_124325 / views.py:7210]
pair	=	USDJPY
timeframe	=	M1
source csv	=	list_4-3.slice-by-day.(2019-02-07).20190211_105457.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source file date	=	20190211_085606
log file name	=	no-45.[basic-stats].20190211_124325.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190211_124325



[20190211_124325 / views.py:7241]
[Close - Open]=========================
lenOf_BarDatas	1439
len(lo_Ups)	668	0.464
len(lo_Downs)	666	0.463
len(lo_Zeros)	105	0.073


