[20190212_132157 / views.py:7602]
pair	=	USDJPY
timeframe	=	M5
source csv	=	list_4-3.slice-by-day.(2019-02-06).20190211_130120.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source file date	=	20190211_091837
log file name	=	no-45.[basic-stats].20190212_132157.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190212_132157



[20190212_132157 / views.py:7653]
[Close - Open]=========================
lenOf_BarDatas	288
len(lo_Ups)	144	0.500
len(lo_Downs)	135	0.469
len(lo_Zeros)	9	0.031

[Diff]=========================
avgOf_Diff_Ups	0.017	(sumOf_Ups = 2.381, len(lo_Ups) = 144)
avgOf_Diff_Downs	-0.018	(sumOf_Downs = -2.387, len(lo_Downs) = 135)
avgOf_Diff_HLs	0.031


