[20190312_082948 / views.py:13111] 
source csv	=	44_5.1_10_rawdata.(AUDUSD).(Period-M15).(NumOfUnits-2000).(Bars-ALL-20190312_082921).20190312_082640.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-44.[ups-downs-in_BB].[v-1.0].(AUDUSD-M15).(20190312_082945).log
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190312_082945


[basics]=========================
pair	=	AUDUSD
timeframe	=	M15
num of bars	=	2000
starting bar	=	2019.02.11 06:30	open=	0.709
ending bar	=	2019.03.12 02:15	close=	0.707


