[20190212_131710 / views.py:7602]
pair	=	USDJPY
timeframe	=	M5
source csv	=	list_4-3.slice-by-day.(2019-01-29).20190211_130120.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source file date	=	20190211_091837
log file name	=	no-45.[basic-stats].20190212_131710.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190212_131710



[20190212_131711 / views.py:7653]
[Close - Open]=========================
lenOf_BarDatas	288
len(lo_Ups)	149	0.517
len(lo_Downs)	137	0.476
len(lo_Zeros)	2	0.007

[Diff]=========================
avgOf_Diff_Ups	0.013	(sumOf_Ups = 1.970, len(lo_Ups) = 149)
avgOf_Diff_Downs	-0.014	(sumOf_Downs = -1.889, len(lo_Downs) = 137)
avgOf_Diff_HLs	0.028


