[20190211_132014 / views.py:7210]
pair	=	USDJPY
timeframe	=	M5
source csv	=	list_4-3.slice-by-day.(2019-01-28).20190211_130120.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source file date	=	20190211_091837
log file name	=	no-45.[basic-stats].20190211_132014.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190211_132014



[20190211_132014 / views.py:7241]
[Close - Open]=========================
lenOf_BarDatas	288
len(lo_Ups)	149	0.517
len(lo_Downs)	129	0.448
len(lo_Zeros)	10	0.035


