[20190322_082850 / views.py:14915] 
source csv	=	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-ALL-20190307_102535).20190214_095445.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-M15).(20190322_082845).log
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190322_082845


[basics]=========================
pair	=	EURJPY
timeframe	=	M15
num of bars	=	7691
starting bar	=	2018.11.09 03:30	open=	129.428
ending bar	=	2019.03.07 02:45	close=	126.314


