[20190219_000810 / views.py:9827] 
source csv	=	44_5.1_10_rawdata.(USDJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_094828.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-44.[ups-downs-in_BB].[v-1.0].20190219_000810.log
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190219_000810


[basics]=========================
pair	=	USDJPY
timeframe	=	M15
num of bars	=	4500
starting bar	=	2018.12.05 09:45	open=	113.046
ending bar	=	2019.02.14 02:45	close=	110.887


