[20190311_081541 / views.py:13167] 
source csv	=	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190311_081323).20190311_081029.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-M15).(20190311_081534).log
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190311_081534


[basics]=========================
pair	=	AUDJPY
timeframe	=	M15
num of bars	=	18000
starting bar	=	2018.06.14 17:30	open=	83.177
ending bar	=	2019.03.11 02:00	close=	78.254


