[20190210_181807 / views.py:7173]
source csv	=	list_4-3.slice-by-day.(2019-01-23).20190206_135722.SHRINK-50.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-45.[basic-stats].20190210_181807.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190210_181807



[20190210_181807 / views.py:7204]
[Close - Open]=========================
lenOf_BarDatas	50
len(lo_Ups)	23	0.460
len(lo_Downs)	24	0.480
len(lo_Zeros)	3	0.060


