[20190211_132728 / views.py:7210]
pair	=	USDJPY
timeframe	=	M5
source csv	=	list_4-3.slice-by-day.(2019-02-07).20190211_130120.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source file date	=	20190211_091837
log file name	=	no-45.[basic-stats].20190211_132728.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190211_132728



[20190211_132728 / views.py:7241]
[Close - Open]=========================
lenOf_BarDatas	288
len(lo_Ups)	136	0.472
len(lo_Downs)	144	0.500
len(lo_Zeros)	8	0.028


