[20190329_134835 / views.py:13857]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-ALL-20190327_162926).20190214_095445.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-M15).(20190329_134834).csv
pair	EURJPY
timeframe	M15
start	2018.11.09 03:30
end	2019.03.27 10:15
bars	9065

[20190329_134835 / views.py:13956]
[ups/downs : through]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
1	2018.11.09 03:30	2019.03.27 10:15	9065	2259	2303	2300	2033	0.249	0.254	0.254	0.224
