[20190212_131736 / views.py:7602]
pair	=	USDJPY
timeframe	=	M5
source csv	=	list_4-3.slice-by-day.(2019-02-01).20190211_130120.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source file date	=	20190211_091837
log file name	=	no-45.[basic-stats].20190212_131736.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190212_131736



[20190212_131736 / views.py:7653]
[Close - Open]=========================
lenOf_BarDatas	287
len(lo_Ups)	141	0.491
len(lo_Downs)	137	0.477
len(lo_Zeros)	9	0.031

[Diff]=========================
avgOf_Diff_Ups	0.016	(sumOf_Ups = 2.291, len(lo_Ups) = 141)
avgOf_Diff_Downs	-0.013	(sumOf_Downs = -1.806, len(lo_Downs) = 137)
avgOf_Diff_HLs	0.029


