[20190212_131726 / views.py:7602]
pair	=	USDJPY
timeframe	=	M5
source csv	=	list_4-3.slice-by-day.(2019-01-31).20190211_130120.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source file date	=	20190211_091837
log file name	=	no-45.[basic-stats].20190212_131726.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190212_131726



[20190212_131726 / views.py:7653]
[Close - Open]=========================
lenOf_BarDatas	288
len(lo_Ups)	135	0.469
len(lo_Downs)	145	0.503
len(lo_Zeros)	8	0.028

[Diff]=========================
avgOf_Diff_Ups	0.017	(sumOf_Ups = 2.268, len(lo_Ups) = 135)
avgOf_Diff_Downs	-0.017	(sumOf_Downs = -2.452, len(lo_Downs) = 145)
avgOf_Diff_HLs	0.033


