[20190210_180352 / views.py:7173]
source csv	=	44_3.2_15_file-io.EURJPY.Period-D1.Days-2000.Bars-2000.20180903_135712.(2018-06).20190117_132128.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-45.[basic-stats].20190210_180352.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190210_180352



[20190210_180352 / views.py:7204]
[Close - Open]=========================
lenOf_BarDatas	21
len(lo_Ups)	13	0.619
len(lo_Downs)	8	0.381
len(lo_Zeros)	0	0.000


