[20190211_124249 / views.py:7210]
pair	=	USDJPY
timeframe	=	M1
source csv	=	list_4-3.slice-by-day.(2019-02-04).20190211_105457.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source file date	=	20190211_085606
log file name	=	no-45.[basic-stats].20190211_124249.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190211_124249



[20190211_124249 / views.py:7241]
[Close - Open]=========================
lenOf_BarDatas	1426
len(lo_Ups)	624	0.438
len(lo_Downs)	633	0.444
len(lo_Zeros)	169	0.119


