[20190318_090304 / views.py:12050]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-H1).(NumOfUnits-3000).(Bars-ALL-20190318_090156).20190318_085834.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(USDJPY-H1).(20190318_090303).csv
pair	USDJPY
timeframe	H1
start	2017.08.18 14:00
end	2019.03.18 02:00
bars	9723

[20190318_090304 / views.py:12149]
[ups/downs : through]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
1	2017.08.18 14:00	2019.03.18 02:00	9723	2497	2497	2502	2102	0.257	0.257	0.257	0.216
