[20190325_180705 / views.py:13652]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M5).(NumOfUnits-50000).(Bars-ALL-20190322_165334).20190322_165012.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(USDJPY-M5).(20190325_180701).csv
pair	USDJPY
timeframe	M5
start	2018.06.19 20:55
end	2019.03.22 10:50
bars	50000

[20190325_180705 / views.py:13751]
[ups/downs : through]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
1	2018.06.19 20:55	2019.03.22 10:50	50000	11531	12160	12116	11439	0.231	0.243	0.242	0.229
